experiment_id,plan_id,date_utc,task,method,dataset,config,ablation,seed,git_commit,resolved_config_hash,partition_hash,architecture_id,run_type,status,primary_metric,primary_value,output_path,log_path,notes
plan2_proxy_hsfp_baseline,PLAN-2,2026-07-13,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,817f3265d5bec70c72df50cb009c9de5770c8cc660e00418c49d30ca77a7555b,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,e4b67d7d5c12,bounded_proxy,COMPLETE,test_as_val_top1_percent,3.81,outputs/proxy/plan2_cifar100_hsfp_baseline_seed20260714/e4b67d7d5c12/817f3265d5bec70c72df50cb009c9de5770c8cc660e00418c49d30ca77a7555b,docs/optimization_loop/logs/plan2_proxy_20260714_003839/hsfp_baseline.log,"10-round proxy; best epoch 1; validation and test are the same official split; test-as-val and fairness flagged; runtime 3518s launcher/3509.3115s runner"
plan2_proxy_hsfp_full_e,PLAN-2,2026-07-13,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_full_e.yaml,full_e_hsfp,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,0018e9c95ab3de020785d6fe91940fbd4ddf4268c2ba66765e10a743be4d43bb,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,e4b67d7d5c12,bounded_proxy,PENDING,test_as_val_top1_percent,,outputs/proxy/plan2_cifar100_hsfp_full_e_seed20260714/e4b67d7d5c12/0018e9c95ab3de020785d6fe91940fbd4ddf4268c2ba66765e10a743be4d43bb,docs/optimization_loop/logs/plan2_proxy_20260714_003839/hsfp_full_e.log,"Training at PLAN-3 tooling handoff; no metrics.json or final number yet; do not interpret partial counters"
plan5_proxy_hsfp_centered_cosine,PLAN-5,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+centered_cosine,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,53e1de0e713c45a1c439f3b19e854e87e8a993f70a0cf8d59cc4871318d42966,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,c176ef5134fa,bounded_proxy,COMPLETE,test_as_val_top1_percent,3.48,outputs/proxy/plan5_cifar100_hsfp_centered_cosine_seed20260714/c176ef5134fa/53e1de0e713c45a1c439f3b19e854e87e8a993f70a0cf8d59cc4871318d42966,docs/optimization_loop/logs/plan5_centered_20260714_033855/centered_cosine.log,"10-round proxy; neutral versus raw 3.81% and within noise; best epoch 7; test-as-validation; no promotion"
plan6_proxy_hsfp_ssl_control,PLAN-6,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+client_objective_ssl,20260714,N/A,c78dedddbcd5bb56081502955fa93b8a295e3c4edb9e606eb874c6f7c35d3c2b,expected_same_partition,e394190834d8,bounded_proxy,PLANNED,test_as_val_top1_percent,,outputs/proxy/plan6_cifar100_hsfp_ssl_seed20260714/e394190834d8/c78dedddbcd5bb56081502955fa93b8a295e3c4edb9e606eb874c6f7c35d3c2b,,"10-round control; auxiliary weight explicitly recorded as 0.1 but unused by ssl; host GPU not run locally; also measure client-encoder linear-probe top-1"
plan6_proxy_hsfp_supervised,PLAN-6,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+client_objective_supervised,20260714,N/A,861bdb361fde223d3cd02d587ee3f2249ef7157665a33b02ec6685825e603131,expected_same_partition,e394190834d8,bounded_proxy,PLANNED,test_as_val_top1_percent,,outputs/proxy/plan6_cifar100_hsfp_supervised_seed20260714/e394190834d8/861bdb361fde223d3cd02d587ee3f2249ef7157665a33b02ec6685825e603131,,"10-round candidate; per-client linear CE auxiliary weight 0.1; host GPU not run locally; also measure client-encoder linear-probe top-1"
plan6_proxy_hsfp_supervised_RESULT,PLAN-6,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+client_objective_supervised,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,861bdb361fde223d3cd02d587ee3f2249ef7157665a33b02ec6685825e603131,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,e394190834d8,bounded_proxy,COMPLETE,test_as_val_top1_percent,4.14,outputs/proxy/plan6_cifar100_hsfp_supervised_seed20260714,docs/optimization_loop/logs/plan6_20260714_044002/supervised.log,"NEUTRAL vs raw 3.81; peaks epoch1 then declines; encoder linear-probe 0.3006 IDENTICAL to ssl-control => client encoder pretrained-dominated (barely trains)"
plan7_proxy_hsfp_whitened_cosine,PLAN-7,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+whitened_cosine,20260714,e74388c084984e7eaeb3625ce46bff5e37051dac,IMPL_BY_CLAUDE,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,c176ef5134fa,bounded_proxy,COMPLETE,test_as_val_top1_percent,1.31,outputs/proxy/plan7_whitened_seed20260714,docs/optimization_loop/logs/plan7_whitened_20260714_062700/whitened_cosine.log,"WORSE than raw 3.81; ZCA whitening (between-class scatter, comms-free) implemented by Claude (Codex out until Jul20); 22/22 tests pass; monotonic climb but ~1.3% => noise amplification in co-trained pipeline"
plan9_raw_evalfix,PLAN-9,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+raw+EVALFIX,20260714,e74388c,evalfix,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,e4b67d7d5c12,bounded_proxy,COMPLETE,corrected_val_top1_percent,7.92,outputs/proxy/plan9_raw_evalfix_seed20260714,docs/optimization_loop/logs/plan9_evalfix,"TRUE raw baseline after FedAvg-global eval fix; was 3.81 frozen-eval; encoder probe 0.2607"
plan10_centered_corr,PLAN-10,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+centered_cosine+EVALFIX,20260714,e74388c,evalfix,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,c176ef5134fa,bounded_proxy,COMPLETE,corrected_val_top1_percent,9.57,outputs/proxy/plan10_centered_corr_seed20260714,docs/optimization_loop/logs/plan10_corrgeom,"WIN +1.65 vs corrected raw 7.92; PROMOTED"
plan10_whitened_corr,PLAN-10,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+whitened_cosine+EVALFIX,20260714,e74388c,evalfix,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,c176ef5134fa,bounded_proxy,COMPLETE,corrected_val_top1_percent,6.32,outputs/proxy/plan10_whitened_corr_seed20260714,docs/optimization_loop/logs/plan10_corrgeom,"REJECTED; below raw even on corrected eval"
plan11_freeze_centered,PLAN-11,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,baseline_hsfp+centered_cosine+FREEZE+EVALFIX,20260714,e74388c,evalfix,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,e4b67d7d5c12,bounded_proxy,COMPLETE,corrected_val_top1_percent,9.76,outputs/proxy/plan11_freeze_centered_seed20260714,docs/optimization_loop/logs/plan11,"BEST; freeze backbone recovers encoder 26->30; +0.19 vs centered"
plan11_full_e_centered_HANG,PLAN-11,2026-07-14,classification,h-sfp,cifar100,configs/proxy/plan2_cifar100_hsfp_baseline.yaml,full_e_hsfp+centered_cosine,20260714,e74388c,evalfix,93e523640b9820c12f7cbf570ecb253a8610531942569577831a8b34d822dcb1,c176ef5134fa,bounded_proxy,DNF_HANG,corrected_val_top1_percent,,outputs/proxy/plan11_full_e_centered_seed20260714,docs/optimization_loop/logs/plan11,"HUNG epoch-1 Clients Processing at proxy scale; ROOT CAUSE persistent_workers x many per-client DataLoaders; fix num_workers configurable; retry num_workers=0"
plan13_full_e_omp,PLAN-13,2026-07-14,classification,h-sfp,cifar100,proxy,full_e_hsfp+centered+OMP1+nw0,20260714,e74388c,evalfix,,c176ef5134fa,bounded_proxy,DNF_HANG_DEFERRED,corrected_val_top1_percent,,outputs/proxy/plan13_full_e_omp_seed20260714,docs/optimization_loop/logs/plan13,"futex deadlock persists with thread pinning; DEFERRED; E-HSFP eval pending systems fix"
plan14_freeze_centered_s20260715,PLAN-14,2026-07-14,classification,h-sfp,cifar100,proxy,baseline_hsfp+centered+FREEZE,20260715,e74388c,evalfix,,e4b67d7d5c12,bounded_proxy,COMPLETE,corrected_val_top1_percent,10.55,outputs/proxy/plan14_freeze_centered_s20260715,docs/optimization_loop/logs/plan14_seeds,"3-seed confirm"
plan14_freeze_centered_s20260716,PLAN-14,2026-07-14,classification,h-sfp,cifar100,proxy,baseline_hsfp+centered+FREEZE,20260716,e74388c,evalfix,,e4b67d7d5c12,bounded_proxy,COMPLETE,corrected_val_top1_percent,10.56,outputs/proxy/plan14_freeze_centered_s20260716,docs/optimization_loop/logs/plan14_seeds,"3-seed confirm"
