experiment_id,dataset,method,variant,seed,existing_artifact,protocol_match,validation_status,reuse_decision,notes
plan13_full_e_omp,cifar100,h-sfp,full_e_hsfp+centered+OMP1+nw0,20260714,outputs/proxy/plan13_full_e_omp_seed20260714,N/A,INVALID,DO_NOT_REUSE,DNF - autograd deadlock persists after nw0 fix
isic2018_hsfp_fixed_3seed,isic2018,h-sfp,baseline_hsfp,"20260714;20260715;20260716",results/fair_comparison_isic2018.csv,DATE_SEED_PROTOCOL,VERIFIED_EXISTING,REUSE,fixed and re-run 2026-07-20 this session; mean 47.27 std 2.19 IoU
isic2018_hierfl_3seed,isic2018,hierfl,baseline,"20260714;20260715;20260716",results/fair_comparison_isic2018.csv,DATE_SEED_PROTOCOL,VERIFIED_EXISTING,REUSE,mean 63.17 std 1.56 IoU
isic2018_federated_3seed,isic2018,federated,fedavg,"20260714;20260715;20260716",results/fair_comparison_isic2018.csv,DATE_SEED_PROTOCOL,VERIFIED_EXISTING,REUSE,mean 27.76 std 0.86 IoU
isic2018_heterosfl_3seed,isic2018,hetero-sfl,baseline,"20260714;20260715;20260716",results/fair_comparison_isic2018.csv,DATE_SEED_PROTOCOL,VERIFIED_EXISTING,REUSE,mean 25.80 std 0.26 IoU
isic2018_splitfl,isic2018,splitfl,N/A,N/A,none,N/A,MISSING,RERUN_REQUIRED,zero artifacts exist; no valid ISIC config (stray CIFAR/HAM configs present)
isic2018_hsfl,isic2018,hsfl,N/A,N/A,none,N/A,MISSING,RERUN_REQUIRED,zero artifacts exist; segmentation/HSFL performs classification not segmentation - needs reimplementation first
cifar100_full60_all_methods,cifar100,"splitfl;hsfl;federated;hierfl;hetero-sfl;h-sfp",baseline,"20260714;20260715;20260716",results/fair_comparison_cifar100_full60.csv (NOT git-tracked),DATE_SEED_PROTOCOL,COMPLETE_UNVALIDATED,VALIDATE_THEN_REUSE,F1-validity and comm-accounting checks not yet applied; HeteroSFL round-count unverified
ham10000_hsfp_3seed,ham10000,h-sfp,baseline,"20260714;20260715;20260716",results/fair_comparison_ham10000.csv,DATE_SEED_PROTOCOL,INVALID,DO_NOT_REUSE,bit-identical top1 across all 3 seeds - seed-not-applied bug suspected
scripts_journal_experiments_convergence,"cifar100;ham10000","federated;hierfl;hetero-sfl;hsfl;splitfl;h-sfp",multiple,0,results/journal/logs/conv_*.log,INTEGER_SEED_PROTOCOL,COMPLETE_UNVALIDATED,VALIDATE_THEN_REUSE,collect_results.py does not extract metrics - needs parser fix before reuse; F1-validity issue applies to h-sfp/hsfl rows
scripts_journal_experiments_ablation,"cifar100;ham10000",h-sfp,"6-preset ladder",0,results/journal/logs/abl_*.log,INTEGER_SEED_PROTOCOL,COMPLETE_UNVALIDATED,VALIDATE_THEN_REUSE,same parser-fix dependency; seed=0 only (5-seed protocol not met)
scripts_journal_experiments_intervals,"cifar100;ham10000",h-sfp,"3 intervals x baseline/full_e",0,results/journal/logs/intv_*.log,INTEGER_SEED_PROTOCOL,COMPLETE_UNVALIDATED,VALIDATE_THEN_REUSE,6/6 cifar succeeded; only 2/7 ham10000 succeeded (see RUN_FAILURES.csv)
camera_ready_suite,cifar100,"multiple",multiple,multiple,results/camera_ready/,SEPARATE_PROTOCOL,NOT_COMPARABLE,DO_NOT_REUSE,earlier ECCV reviewer-response suite; own README states numbers are smoke-scale/unexecuted
